,order_id,customer_id,date_of_sale,product_id.y,product_name.y
27,200017,100063,04/03/19,"2,72,73,07,22,72,73,08,00,00,00,00,00,00,00,000","Tine Milk,Dove Soap,Dove Soap,Harringtons"
28,200017,100065,04/03/19,"2,72,73,07,22,72,73,08,00,00,00,00,00,00,00,000","Tine Milk,Dove Soap,Dove Soap,Harringtons"
29,200017,100040,04/03/19,"2,72,73,07,22,72,73,08,00,00,00,00,00,00,00,000","Tine Milk,Dove Soap,Dove Soap,Harringtons"
30,200017,100083,04/03/19,"2,72,73,07,22,72,73,08,00,00,00,00,00,00,00,000","Tine Milk,Dove Soap,Dove Soap,Harringtons"
31,200018,100024,07/09/19,"5,44,91,47,22,72,73,070","Corn Flakes,Harringtons"
32,200018,100080,07/09/19,"5,44,91,47,22,72,73,070","Corn Flakes,Harringtons"
33,200019,100056,14/06/19,"2,72,73,07,12,72,73,07,00,00,00,000","Tine Milk,Tine Milk,Uriage"
34,200019,100043,14/06/19,"2,72,73,07,12,72,73,07,00,00,00,000","Tine Milk,Tine Milk,Uriage"
35,200019,100041,14/06/19,"2,72,73,07,12,72,73,07,00,00,00,000","Tine Milk,Tine Milk,Uriage"
36,200021,100095,06/09/19,27273075,Coca Cola
37,200022,100092,18/05/19,27273081,Coca Cola
38,200023,100001,21/07/19,27273078,Melkesjokolade
39,200024,100059,08/06/19,27273072,Uriage
40,200025,100044,13/09/19,"2,72,73,07,32,72,73,07,00,00,00,000","Melkesjokolade,Fiske Boller,Tine Milk"
41,200025,100032,13/09/19,"2,72,73,07,32,72,73,07,00,00,00,000","Melkesjokolade,Fiske Boller,Tine Milk"
42,200025,100003,13/09/19,"2,72,73,07,32,72,73,07,00,00,00,000","Melkesjokolade,Fiske Boller,Tine Milk"
43,200026,100017,12/04/19,27273079,Havre Fras
44,200027,100017,16/02/19,27273071,Havre Fras
45,200028,100074,17/02/19,27273074,Crest
46,200029,100016,01/02/19,27273074,Havre Fras
47,200030,100009,31/05/19,27273077,Corn ahoy
48,200031,100017,05/03/19,27273079,Havre Fras
49,200032,100073,12/01/19,"2,72,73,07,22,72,73,070","Corn ahoy,Crest"
50,200032,100012,12/01/19,"2,72,73,07,22,72,73,070","Corn ahoy,Crest"
51,200033,100096,10/02/19,"2,72,73,07,02,72,73,070","Dove Soap,Coca Cola"
52,200033,100066,10/02/19,"2,72,73,07,02,72,73,070","Dove Soap,Coca Cola"
53,200034,100066,17/05/19,27273070,Dove Soap
54,200035,100004,06/08/19,27273071,Melkesjokolade
55,200037,100082,06/05/19,"2,72,73,07,52,72,73,07,00,00,00,00,00,00,00,00,00,00,00,000","Tine Milk,Tine Milk,Harringtons,Trixie Wicker Cat Basket,Coca Cola"
56,200037,100089,06/05/19,"2,72,73,07,52,72,73,07,00,00,00,00,00,00,00,00,00,00,00,000","Tine Milk,Tine Milk,Harringtons,Trixie Wicker Cat Basket,Coca Cola"
57,200037,100099,06/05/19,"2,72,73,07,52,72,73,07,00,00,00,00,00,00,00,00,00,00,00,000","Tine Milk,Tine Milk,Harringtons,Trixie Wicker Cat Basket,Coca Cola"
58,200037,100041,06/05/19,"2,72,73,07,52,72,73,07,00,00,00,00,00,00,00,00,00,00,00,000","Tine Milk,Tine Milk,Harringtons,Trixie Wicker Cat Basket,Coca Cola"
59,200037,100039,06/05/19,"2,72,73,07,52,72,73,07,00,00,00,00,00,00,00,00,00,00,00,000","Tine Milk,Tine Milk,Harringtons,Trixie Wicker Cat Basket,Coca Cola"
60,200038,100086,23/06/19,27273078,Trixie Wicker Cat Basket
61,200039,100002,10/01/19,"2,72,73,08,02,72,73,070","Melkesjokolade,Sine Moistur"
62,200039,100052,10/01/19,"2,72,73,08,02,72,73,070","Melkesjokolade,Sine Moistur"
63,200040,100067,10/01/19,54491472,Dove Soap
64,200041,100023,12/09/19,27273072,Havre Fras
65,200042,100093,07/07/19,"2,72,73,07,02,72,73,070","Fiske Boller,Coca Cola"
66,200042,100035,07/07/19,"2,72,73,07,02,72,73,070","Fiske Boller,Coca Cola"
67,200044,100014,14/02/19,"2,72,73,07,82,72,73,07,00,00,00,00,00,00,00,000","Corn ahoy,Havre Fras,Havre Fras,Dove Soap"
68,200044,100018,14/02/19,"2,72,73,07,82,72,73,07,00,00,00,00,00,00,00,000","Corn ahoy,Havre Fras,Havre Fras,Dove Soap"
69,200044,100017,14/02/19,"2,72,73,07,82,72,73,07,00,00,00,00,00,00,00,000","Corn ahoy,Havre Fras,Havre Fras,Dove Soap"
70,200044,100066,14/02/19,"2,72,73,07,82,72,73,07,00,00,00,00,00,00,00,000","Corn ahoy,Havre Fras,Havre Fras,Dove Soap"
71,200045,100033,12/05/19,"2,72,73,07,92,72,73,07,00,00,00,000","Fiske Boller,Tine Milk,Tine Milk"
72,200045,100047,12/05/19,"2,72,73,07,92,72,73,07,00,00,00,000","Fiske Boller,Tine Milk,Tine Milk"
73,200045,100043,12/05/19,"2,72,73,07,92,72,73,07,00,00,00,000","Fiske Boller,Tine Milk,Tine Milk"
74,200046,100052,17/04/19,"2,72,73,07,52,72,73,07,00,00,00,00,00,00,00,000","Corn Flakes,Fiske Boller,Fiske Boller,Sine Moistur"
75,200046,100035,17/04/19,"2,72,73,07,52,72,73,07,00,00,00,00,00,00,00,000","Corn Flakes,Fiske Boller,Fiske Boller,Sine Moistur"
76,200046,100035,17/04/19,"2,72,73,07,52,72,73,07,00,00,00,00,00,00,00,000","Corn Flakes,Fiske Boller,Fiske Boller,Sine Moistur"
77,200046,100024,17/04/19,"2,72,73,07,52,72,73,07,00,00,00,00,00,00,00,000","Corn Flakes,Fiske Boller,Fiske Boller,Sine Moistur"
78,200047,100099,01/09/19,"2,72,73,07,22,72,73,070","Corn Flakes,Coca Cola"
79,200047,100024,01/09/19,"2,72,73,07,22,72,73,070","Corn Flakes,Coca Cola"
80,200048,100059,10/07/19,"5,44,91,47,22,72,73,07,00,00,00,000","Corn ahoy,Uriage,Harringtons"
81,200048,100012,10/07/19,"5,44,91,47,22,72,73,07,00,00,00,000","Corn ahoy,Uriage,Harringtons"
82,200048,100082,10/07/19,"5,44,91,47,22,72,73,07,00,00,00,000","Corn ahoy,Uriage,Harringtons"
83,200049,100017,10/06/19,27273080,Havre Fras
84,200051,100024,18/02/19,27273081,Corn Flakes
85,200052,100013,30/04/19,"5,44,91,47,22,72,73,070","Corn ahoy,Tine Milk"
86,200052,100043,30/04/19,"5,44,91,47,22,72,73,070","Corn ahoy,Tine Milk"
87,200053,100038,20/02/19,27273071,Fiske Boller
88,200054,100049,13/01/19,"2,72,73,07,92,72,73,070","Sine Moistur,Uriage"
89,200054,100058,13/01/19,"2,72,73,07,92,72,73,070","Sine Moistur,Uriage"
90,200055,100067,27/04/19,"2,72,73,07,92,72,73,07,00,00,00,000","Corn ahoy,Corn ahoy,Dove Soap"
91,200055,100015,27/04/19,"2,72,73,07,92,72,73,07,00,00,00,000","Corn ahoy,Corn ahoy,Dove Soap"
92,200055,100011,27/04/19,"2,72,73,07,92,72,73,07,00,00,00,000","Corn ahoy,Corn ahoy,Dove Soap"
93,200056,100079,27/02/19,27273071,Harringtons
94,200057,100093,13/01/19,"2,72,73,07,02,72,73,07,00,00,00,000","Corn ahoy,Trixie Wicker Cat Basket,Coca Cola"
95,200057,100014,13/01/19,"2,72,73,07,02,72,73,07,00,00,00,000","Corn ahoy,Trixie Wicker Cat Basket,Coca Cola"
96,200057,100089,13/01/19,"2,72,73,07,02,72,73,07,00,00,00,000","Corn ahoy,Trixie Wicker Cat Basket,Coca Cola"
97,200058,100038,11/06/19,"2,72,73,07,35,44,91,47,00,00,00,00,00,00,00,000","Corn ahoy,Fiske Boller,Sine Moistur,Trixie Wicker Cat Basket"
98,200058,100013,11/06/19,"2,72,73,07,35,44,91,47,00,00,00,00,00,00,00,000","Corn ahoy,Fiske Boller,Sine Moistur,Trixie Wicker Cat Basket"
99,200058,100092,11/06/19,"2,72,73,07,35,44,91,47,00,00,00,00,00,00,00,000","Corn ahoy,Fiske Boller,Sine Moistur,Trixie Wicker Cat Basket"
100,200058,100051,11/06/19,"2,72,73,07,35,44,91,47,00,00,00,00,00,00,00,000","Corn ahoy,Fiske Boller,Sine Moistur,Trixie Wicker Cat Basket"
101,200059,100037,21/05/19,"2,72,73,07,02,72,73,070","Corn ahoy,Fiske Boller"
102,200059,100010,21/05/19,"2,72,73,07,02,72,73,070","Corn ahoy,Fiske Boller"
103,200060,100067,19/06/19,"2,72,73,07,22,72,73,07,00,00,00,000","Uriage,Dove Soap,Dove Soap"
104,200060,100069,19/06/19,"2,72,73,07,22,72,73,07,00,00,00,000","Uriage,Dove Soap,Dove Soap"
105,200060,100057,19/06/19,"2,72,73,07,22,72,73,07,00,00,00,000","Uriage,Dove Soap,Dove Soap"
106,200061,100090,10/07/19,"2,72,73,07,52,72,73,07,00,00,00,00,00,00,00,000","Melkesjokolade,Corn Flakes,Harringtons,Trixie Wicker Cat Basket"
107,200061,100078,10/07/19,"2,72,73,07,52,72,73,07,00,00,00,00,00,00,00,000","Melkesjokolade,Corn Flakes,Harringtons,Trixie Wicker Cat Basket"
108,200061,100004,10/07/19,"2,72,73,07,52,72,73,07,00,00,00,00,00,00,00,000","Melkesjokolade,Corn Flakes,Harringtons,Trixie Wicker Cat Basket"
109,200061,100026,10/07/19,"2,72,73,07,52,72,73,07,00,00,00,00,00,00,00,000","Melkesjokolade,Corn Flakes,Harringtons,Trixie Wicker Cat Basket"
110,200063,100078,08/06/19,"2,72,73,07,72,72,73,07,00,00,00,00,00,00,00,00,00,00,00,000","Fiske Boller,Fiske Boller,Crest,Harringtons,Coca Cola"
111,200063,100034,08/06/19,"2,72,73,07,72,72,73,07,00,00,00,00,00,00,00,00,00,00,00,000","Fiske Boller,Fiske Boller,Crest,Harringtons,Coca Cola"
112,200063,100031,08/06/19,"2,72,73,07,72,72,73,07,00,00,00,00,00,00,00,00,00,00,00,000","Fiske Boller,Fiske Boller,Crest,Harringtons,Coca Cola"
113,200063,100072,08/06/19,"2,72,73,07,72,72,73,07,00,00,00,00,00,00,00,00,00,00,00,000","Fiske Boller,Fiske Boller,Crest,Harringtons,Coca Cola"
114,200063,100093,08/06/19,"2,72,73,07,72,72,73,07,00,00,00,00,00,00,00,00,00,00,00,000","Fiske Boller,Fiske Boller,Crest,Harringtons,Coca Cola"
115,200064,100087,21/05/19,"2,72,73,08,02,72,73,07,00,00,00,00,00,00,00,000","Sine Moistur,Crest,Trixie Wicker Cat Basket,Trixie Wicker Cat Basket"
116,200064,100047,21/05/19,"2,72,73,08,02,72,73,07,00,00,00,00,00,00,00,000","Sine Moistur,Crest,Trixie Wicker Cat Basket,Trixie Wicker Cat Basket"
117,200064,100085,21/05/19,"2,72,73,08,02,72,73,07,00,00,00,00,00,00,00,000","Sine Moistur,Crest,Trixie Wicker Cat Basket,Trixie Wicker Cat Basket"
118,200064,100077,21/05/19,"2,72,73,08,02,72,73,07,00,00,00,00,00,00,00,000","Sine Moistur,Crest,Trixie Wicker Cat Basket,Trixie Wicker Cat Basket"
119,200065,100068,02/07/19,54491472,Dove Soap
120,200066,100007,16/06/19,27273071,Melkesjokolade
121,200067,100087,14/03/19,"2,72,73,08,12,72,73,070","Melkesjokolade,Trixie Wicker Cat Basket"
122,200067,100003,14/03/19,"2,72,73,08,12,72,73,070","Melkesjokolade,Trixie Wicker Cat Basket"
123,200068,100025,28/05/19,27273076,Corn Flakes
124,200069,100020,14/02/19,"2,72,73,07,12,72,73,07,00,00,00,000","Havre Fras,Trixie Wicker Cat Basket,Trixie Wicker Cat Basket"
125,200069,100091,14/02/19,"2,72,73,07,12,72,73,07,00,00,00,000","Havre Fras,Trixie Wicker Cat Basket,Trixie Wicker Cat Basket"
126,200069,100087,14/02/19,"2,72,73,07,12,72,73,07,00,00,00,000","Havre Fras,Trixie Wicker Cat Basket,Trixie Wicker Cat Basket"
127,200070,100005,02/01/19,"2,72,73,07,75,44,91,47,00,00,00,000","Melkesjokolade,Dove Soap,Crest"
128,200070,100074,02/01/19,"2,72,73,07,75,44,91,47,00,00,00,000","Melkesjokolade,Dove Soap,Crest"
129,200070,100063,02/01/19,"2,72,73,07,75,44,91,47,00,00,00,000","Melkesjokolade,Dove Soap,Crest"
130,200071,100012,24/01/19,"5,44,91,47,22,72,73,07,00,00,00,000","Melkesjokolade,Corn ahoy,Fiske Boller"
131,200071,100003,24/01/19,"5,44,91,47,22,72,73,07,00,00,00,000","Melkesjokolade,Corn ahoy,Fiske Boller"
132,200071,100035,24/01/19,"5,44,91,47,22,72,73,07,00,00,00,000","Melkesjokolade,Corn ahoy,Fiske Boller"
133,200072,100070,09/02/19,"2,72,73,07,95,44,91,47,00,00,00,000","Corn ahoy,Fiske Boller,Dove Soap"
134,200072,100010,09/02/19,"2,72,73,07,95,44,91,47,00,00,00,000","Corn ahoy,Fiske Boller,Dove Soap"
135,200072,100034,09/02/19,"2,72,73,07,95,44,91,47,00,00,00,000","Corn ahoy,Fiske Boller,Dove Soap"
136,200073,100050,04/08/19,27273078,Sine Moistur
137,200074,100031,02/01/19,"2,72,73,07,52,72,73,07,00,00,00,00,00,00,00,00,00,00,00,000","Corn Flakes,Uriage,Uriage,Dove Soap,Crest"
138,200074,100055,02/01/19,"2,72,73,07,52,72,73,07,00,00,00,00,00,00,00,00,00,00,00,000","Corn Flakes,Uriage,Uriage,Dove Soap,Crest"
139,200074,100057,02/01/19,"2,72,73,07,52,72,73,07,00,00,00,00,00,00,00,00,00,00,00,000","Corn Flakes,Uriage,Uriage,Dove Soap,Crest"
140,200074,100074,02/01/19,"2,72,73,07,52,72,73,07,00,00,00,00,00,00,00,00,00,00,00,000","Corn Flakes,Uriage,Uriage,Dove Soap,Crest"
141,200074,100067,02/01/19,"2,72,73,07,52,72,73,07,00,00,00,00,00,00,00,00,00,00,00,000","Corn Flakes,Uriage,Uriage,Dove Soap,Crest"
142,200075,100015,10/04/19,"2,72,73,07,42,72,73,07,00,00,00,00,00,00,00,000","Corn ahoy,Havre Fras,Corn Flakes,Trixie Wicker Cat Basket"
143,200075,100021,10/04/19,"2,72,73,07,42,72,73,07,00,00,00,00,00,00,00,000","Corn ahoy,Havre Fras,Corn Flakes,Trixie Wicker Cat Basket"
144,200075,100087,10/04/19,"2,72,73,07,42,72,73,07,00,00,00,00,00,00,00,000","Corn ahoy,Havre Fras,Corn Flakes,Trixie Wicker Cat Basket"
145,200075,100029,10/04/19,"2,72,73,07,42,72,73,07,00,00,00,00,00,00,00,000","Corn ahoy,Havre Fras,Corn Flakes,Trixie Wicker Cat Basket"
146,200076,100006,18/03/19,27273081,Melkesjokolade
147,200077,100040,14/09/19,27273081,Tine Milk
148,200078,100029,28/01/19,"2,72,73,07,32,72,73,080","Corn ahoy,Corn Flakes"
149,200078,100010,28/01/19,"2,72,73,07,32,72,73,080","Corn ahoy,Corn Flakes"
150,200079,100001,26/07/19,27273075,Melkesjokolade
151,200080,100045,01/07/19,54491472,Tine Milk
152,200081,100003,14/05/19,"2,72,73,07,52,72,73,080","Melkesjokolade,Melkesjokolade"
153,200081,100007,14/05/19,"2,72,73,07,52,72,73,080","Melkesjokolade,Melkesjokolade"
154,200082,100066,20/02/19,27273070,Dove Soap
155,200083,100076,16/09/19,"2,72,73,07,42,72,73,07,00,00,00,000","Crest,Crest,Trixie Wicker Cat Basket"
156,200083,100071,16/09/19,"2,72,73,07,42,72,73,07,00,00,00,000","Crest,Crest,Trixie Wicker Cat Basket"
157,200083,100090,16/09/19,"2,72,73,07,42,72,73,07,00,00,00,000","Crest,Crest,Trixie Wicker Cat Basket"
158,200084,100046,05/08/19,"2,72,73,07,02,72,73,08,00,00,00,000","Havre Fras,Corn Flakes,Tine Milk"
159,200084,100021,05/08/19,"2,72,73,07,02,72,73,08,00,00,00,000","Havre Fras,Corn Flakes,Tine Milk"
160,200084,100029,05/08/19,"2,72,73,07,02,72,73,08,00,00,00,000","Havre Fras,Corn Flakes,Tine Milk"
161,200085,100074,06/09/19,"2,72,73,07,42,72,73,070","Havre Fras,Crest"
162,200085,100018,06/09/19,"2,72,73,07,42,72,73,070","Havre Fras,Crest"
163,200086,100057,28/07/19,"2,72,73,08,02,72,73,07,00,00,00,000","Fiske Boller,Tine Milk,Uriage"
164,200086,100044,28/07/19,"2,72,73,08,02,72,73,07,00,00,00,000","Fiske Boller,Tine Milk,Uriage"
165,200086,100032,28/07/19,"2,72,73,08,02,72,73,07,00,00,00,000","Fiske Boller,Tine Milk,Uriage"
166,200087,100064,25/08/19,"2,72,73,07,02,72,73,070","Sine Moistur,Dove Soap"
167,200087,100049,25/08/19,"2,72,73,07,02,72,73,070","Sine Moistur,Dove Soap"
168,200088,100074,24/04/19,"2,72,73,07,52,72,73,07,00,00,00,00,00,00,00,000","Tine Milk,Uriage,Crest,Crest"
169,200088,100058,24/04/19,"2,72,73,07,52,72,73,07,00,00,00,00,00,00,00,000","Tine Milk,Uriage,Crest,Crest"
170,200088,100043,24/04/19,"2,72,73,07,52,72,73,07,00,00,00,00,00,00,00,000","Tine Milk,Uriage,Crest,Crest"
171,200088,100074,24/04/19,"2,72,73,07,52,72,73,07,00,00,00,00,00,00,00,000","Tine Milk,Uriage,Crest,Crest"
172,200089,100033,28/04/19,"2,72,73,07,92,72,73,07,00,00,00,000","Melkesjokolade,Corn ahoy,Fiske Boller"
173,200089,100013,28/04/19,"2,72,73,07,92,72,73,07,00,00,00,000","Melkesjokolade,Corn ahoy,Fiske Boller"
174,200089,100004,28/04/19,"2,72,73,07,92,72,73,07,00,00,00,000","Melkesjokolade,Corn ahoy,Fiske Boller"
175,200091,100048,05/04/19,27273075,Sine Moistur
176,200092,100008,19/07/19,"2,72,73,07,72,72,73,08,00,00,00,00,00,00,00,000","Corn ahoy,Corn Flakes,Tine Milk,Sine Moistur"
177,200092,100025,19/07/19,"2,72,73,07,72,72,73,08,00,00,00,00,00,00,00,000","Corn ahoy,Corn Flakes,Tine Milk,Sine Moistur"
178,200092,100050,19/07/19,"2,72,73,07,72,72,73,08,00,00,00,00,00,00,00,000","Corn ahoy,Corn Flakes,Tine Milk,Sine Moistur"
179,200092,100040,19/07/19,"2,72,73,07,72,72,73,08,00,00,00,00,00,00,00,000","Corn ahoy,Corn Flakes,Tine Milk,Sine Moistur"
180,200093,100039,09/02/19,27273078,Tine Milk
181,200094,100017,12/07/19,"2,72,73,07,52,72,73,07,00,00,00,00,00,00,00,000","Havre Fras,Fiske Boller,Fiske Boller,Uriage"
182,200094,100055,12/07/19,"2,72,73,07,52,72,73,07,00,00,00,00,00,00,00,000","Havre Fras,Fiske Boller,Fiske Boller,Uriage"
183,200094,100031,12/07/19,"2,72,73,07,52,72,73,07,00,00,00,00,00,00,00,000","Havre Fras,Fiske Boller,Fiske Boller,Uriage"
184,200094,100039,12/07/19,"2,72,73,07,52,72,73,07,00,00,00,00,00,00,00,000","Havre Fras,Fiske Boller,Fiske Boller,Uriage"
185,200095,100066,22/05/19,27273073,Dove Soap
186,200097,100004,06/09/19,"2,72,73,08,02,72,73,07,00,00,00,000","Melkesjokolade,Tine Milk,Tine Milk"
187,200097,100041,06/09/19,"2,72,73,08,02,72,73,07,00,00,00,000","Melkesjokolade,Tine Milk,Tine Milk"
188,200097,100044,06/09/19,"2,72,73,08,02,72,73,07,00,00,00,000","Melkesjokolade,Tine Milk,Tine Milk"
189,200098,100055,22/06/19,"2,72,73,07,72,72,73,07,00,00,00,00,00,00,00,000","Corn ahoy,Sine Moistur,Uriage,Coca Cola"
190,200098,100009,22/06/19,"2,72,73,07,72,72,73,07,00,00,00,00,00,00,00,000","Corn ahoy,Sine Moistur,Uriage,Coca Cola"
191,200098,100048,22/06/19,"2,72,73,07,72,72,73,07,00,00,00,00,00,00,00,000","Corn ahoy,Sine Moistur,Uriage,Coca Cola"
192,200098,100094,22/06/19,"2,72,73,07,72,72,73,07,00,00,00,00,00,00,00,000","Corn ahoy,Sine Moistur,Uriage,Coca Cola"
193,200099,100020,04/07/19,27273077,Havre Fras
194,200100,100074,14/08/19,27273079,Crest
195,200101,100036,24/01/19,"2,72,73,07,02,72,73,07,00,00,00,000","Fiske Boller,Dove Soap,Trixie Wicker Cat Basket"
196,200101,100089,24/01/19,"2,72,73,07,02,72,73,07,00,00,00,000","Fiske Boller,Dove Soap,Trixie Wicker Cat Basket"
197,200101,100066,24/01/19,"2,72,73,07,02,72,73,07,00,00,00,000","Fiske Boller,Dove Soap,Trixie Wicker Cat Basket"
198,200102,100052,12/08/19,"2,72,73,08,12,72,73,070","Sine Moistur,Crest"
199,200102,100071,12/08/19,"2,72,73,08,12,72,73,070","Sine Moistur,Crest"
200,200103,100033,14/01/19,"2,72,73,08,15,44,91,47,00,00,00,000","Corn ahoy,Fiske Boller,Sine Moistur"
201,200103,100052,14/01/19,"2,72,73,08,15,44,91,47,00,00,00,000","Corn ahoy,Fiske Boller,Sine Moistur"
202,200103,100013,14/01/19,"2,72,73,08,15,44,91,47,00,00,00,000","Corn ahoy,Fiske Boller,Sine Moistur"
203,200104,100088,01/06/19,27273073,Trixie Wicker Cat Basket
204,200105,100076,23/03/19,27273071,Crest
205,200106,100093,10/01/19,"2,72,73,07,82,72,73,07,00,00,00,000","Havre Fras,Crest,Coca Cola"
206,200106,100076,10/01/19,"2,72,73,07,82,72,73,07,00,00,00,000","Havre Fras,Crest,Coca Cola"
207,200106,100020,10/01/19,"2,72,73,07,82,72,73,07,00,00,00,000","Havre Fras,Crest,Coca Cola"
208,200107,100042,06/02/19,"2,72,73,07,42,72,73,08,00,00,00,00,00,00,00,00,00,00,00,000","Melkesjokolade,Melkesjokolade,Havre Fras,Tine Milk,Uriage"
209,200107,100004,06/02/19,"2,72,73,07,42,72,73,08,00,00,00,00,00,00,00,00,00,00,00,000","Melkesjokolade,Melkesjokolade,Havre Fras,Tine Milk,Uriage"
210,200107,100062,06/02/19,"2,72,73,07,42,72,73,08,00,00,00,00,00,00,00,00,00,00,00,000","Melkesjokolade,Melkesjokolade,Havre Fras,Tine Milk,Uriage"
211,200107,100018,06/02/19,"2,72,73,07,42,72,73,08,00,00,00,00,00,00,00,00,00,00,00,000","Melkesjokolade,Melkesjokolade,Havre Fras,Tine Milk,Uriage"
212,200107,100003,06/02/19,"2,72,73,07,42,72,73,08,00,00,00,00,00,00,00,00,00,00,00,000","Melkesjokolade,Melkesjokolade,Havre Fras,Tine Milk,Uriage"
213,200108,100020,15/02/19,"2,72,73,07,92,72,73,07,00,00,00,00,00,00,00,000","Havre Fras,Havre Fras,Coca Cola,Coca Cola"
214,200108,100092,15/02/19,"2,72,73,07,92,72,73,07,00,00,00,00,00,00,00,000","Havre Fras,Havre Fras,Coca Cola,Coca Cola"
215,200108,100094,15/02/19,"2,72,73,07,92,72,73,07,00,00,00,00,00,00,00,000","Havre Fras,Havre Fras,Coca Cola,Coca Cola"
216,200108,100020,15/02/19,"2,72,73,07,92,72,73,07,00,00,00,00,00,00,00,000","Havre Fras,Havre Fras,Coca Cola,Coca Cola"
217,200109,100003,21/05/19,54491472,Melkesjokolade
218,200110,100079,02/08/19,"2,72,73,07,12,72,73,070","Fiske Boller,Harringtons"
219,200110,100034,02/08/19,"2,72,73,07,12,72,73,070","Fiske Boller,Harringtons"
220,200111,100010,30/05/19,"2,72,73,07,52,72,73,070","Corn ahoy,Corn ahoy"
221,200111,100010,30/05/19,"2,72,73,07,52,72,73,070","Corn ahoy,Corn ahoy"
222,200112,100017,26/01/19,27273075,Havre Fras
223,200113,100074,25/07/19,27273081,Crest
224,200114,100063,04/09/19,27273075,Dove Soap
225,200115,100082,28/04/19,"2,72,73,07,02,72,73,07,00,00,00,000","Fiske Boller,Sine Moistur,Harringtons"
226,200115,100053,28/04/19,"2,72,73,07,02,72,73,07,00,00,00,000","Fiske Boller,Sine Moistur,Harringtons"
227,200115,100037,28/04/19,"2,72,73,07,02,72,73,07,00,00,00,000","Fiske Boller,Sine Moistur,Harringtons"
228,200116,100060,25/03/19,27273076,Uriage
229,200117,100003,04/06/19,"5,44,91,47,22,72,73,070","Melkesjokolade,Uriage"
230,200117,100056,04/06/19,"5,44,91,47,22,72,73,070","Melkesjokolade,Uriage"
231,200118,100016,04/09/19,"2,72,73,07,32,72,73,070","Havre Fras,Havre Fras"
232,200118,100022,04/09/19,"2,72,73,07,32,72,73,070","Havre Fras,Havre Fras"
233,200119,100001,01/03/19,"2,72,73,08,12,72,73,070","Melkesjokolade,Melkesjokolade"
234,200119,100004,01/03/19,"2,72,73,08,12,72,73,070","Melkesjokolade,Melkesjokolade"
235,200120,100007,03/07/19,"5,44,91,47,22,72,73,07,00,00,00,000","Melkesjokolade,Corn ahoy,Harringtons"
236,200120,100078,03/07/19,"5,44,91,47,22,72,73,07,00,00,00,000","Melkesjokolade,Corn ahoy,Harringtons"
